[23Apr2025 14:41:22.894] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--gameDir, ., --launchTarget, fmlserver, --fml.forgeVersion, 36.2.42, --fml.mcpVersion, 20210115.111550, --fml.mcVersion, 1.16.5, --fml.forgeGroup, net.minecraftforge, nogui]
[23Apr2025 14:41:22.897] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 8.1.3+8.1.3+main-8.1.x.c94d18ec starting: java version 11.0.26 by Ubuntu
[23Apr2025 14:41:23.148] [main/INFO] [net.minecraftforge.fml.loading.FixSSL/CORE]: Added Lets Encrypt root certificates as additional trust
[23Apr2025 14:41:23.221] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.4 Source=file:/workspaces/serio/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.4/mixin-0.8.4.jar Service=ModLauncher Env=SERVER
[23Apr2025 14:41:23.260] [main/WARN] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Configuration file /workspaces/serio/servidor_minecraft/config/fml.toml is not correct. Correcting
[23Apr2025 14:41:23.265] [main/WARN] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [defaultConfigPath] was corrected from null to defaultconfigs
[23Apr2025 14:41:23.268] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: com.electronwill.nightconfig.core.io.ParsingException: Invalid TOML data: entry "[maxThreads]" defined twice in its table.
[23Apr2025 14:41:23.268] [main/WARN] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [maxThreads] was corrected from null to -1
[23Apr2025 14:41:23.269] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.toml.TableParser.checkDuplicateKey(TableParser.java:88)
[23Apr2025 14:41:23.269] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.toml.TableParser.parseNormal(TableParser.java:59)
[23Apr2025 14:41:23.270] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.toml.TomlParser.parse(TomlParser.java:44)
[23Apr2025 14:41:23.270] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.toml.TomlParser.parse(TomlParser.java:37)
[23Apr2025 14:41:23.271] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.core.io.ConfigParser.parse(ConfigParser.java:113)
[23Apr2025 14:41:23.271] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.core.io.ConfigParser.parse(ConfigParser.java:219)
[23Apr2025 14:41:23.271] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.core.io.ConfigParser.parse(ConfigParser.java:202)
[23Apr2025 14:41:23.272] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.core.file.WriteSyncFileConfig.load(WriteSyncFileConfig.java:73)
[23Apr2025 14:41:23.272] [Thread-0/INFO] [STDERR/]: [com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread:run:183]: 	at com.electronwill.nightconfig.core.file.FileWatcher$WatcherThread.run(FileWatcher.java:181)
[23Apr2025 14:41:23.740] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 14:41:23.830] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 14:41:23.837] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 14:41:23.842] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 14:41:23.848] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 14:41:24.999] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'fmlserver' with arguments [--gameDir, ., nogui]
[23Apr2025 14:41:31.242] [modloading-worker-2/INFO] [Dungeon Crawl/]: Here we go! Launching Dungeon Crawl 2.3.12...
[23Apr2025 14:41:31.390] [modloading-worker-3/INFO] [me.treyruffy.betterf3.BetterF3Forge/]: [BetterF3] Starting...
[23Apr2025 14:41:31.390] [modloading-worker-3/WARN] [me.treyruffy.betterf3.BetterF3Forge/]: [BetterF3] Not supported on dedicated server!
[23Apr2025 14:41:31.424] [modloading-worker-2/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 36.2.42, for MC 1.16.5 with MCP 20210115.111550
[23Apr2025 14:41:31.440] [modloading-worker-2/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v36.2.42 Initialized
[23Apr2025 14:41:31.563] [modloading-worker-3/INFO] [expandability/]: ExpandAbility here, who dis?
[23Apr2025 14:41:35.890] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedDepositUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 14:41:35.891] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.feedingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.891] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.feedingUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 14:41:35.891] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.feedingUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 14:41:35.893] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFeedingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.894] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFeedingUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 14:41:35.894] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFeedingUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 14:41:35.895] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.filterUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.895] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.filterUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 14:41:35.895] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.filterUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 14:41:35.896] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFilterUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.896] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFilterUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 14:41:35.898] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedFilterUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 14:41:35.898] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.magnetUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.898] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.magnetUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 14:41:35.898] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.magnetUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 14:41:35.899] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.magnetUpgrade.magnetRange was corrected from null to its default, 3. 
[23Apr2025 14:41:35.900] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedMagnetUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.900] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedMagnetUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 14:41:35.901] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedMagnetUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 14:41:35.904] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedMagnetUpgrade.magnetRange was corrected from null to its default, 5. 
[23Apr2025 14:41:35.904] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.pickupUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.904] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.pickupUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 14:41:35.904] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.pickupUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 14:41:35.905] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedPickupUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.906] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedPickupUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 14:41:35.906] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedPickupUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 14:41:35.907] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.refillUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.907] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.refillUpgrade.filterSlots was corrected from null to its default, 6. 
[23Apr2025 14:41:35.907] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.refillUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 14:41:35.910] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.restockUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.910] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.restockUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 14:41:35.910] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.restockUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 14:41:35.911] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedRestockUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.911] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedRestockUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 14:41:35.912] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedRestockUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 14:41:35.913] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.voidUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.913] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.voidUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 14:41:35.913] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.voidUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 14:41:35.914] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedVoidUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.914] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedVoidUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 14:41:35.915] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedVoidUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 14:41:35.917] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stackUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.917] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stackUpgrade.nonStackableItems was corrected from null to its default, []. 
[23Apr2025 14:41:35.917] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smeltingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.918] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smeltingUpgrade.smeltingSpeedMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 14:41:35.919] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smeltingUpgrade.fuelEfficiencyMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 14:41:35.921] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smokingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.921] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smokingUpgrade.smeltingSpeedMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 14:41:35.921] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.smokingUpgrade.fuelEfficiencyMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 14:41:35.922] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.blastingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.923] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.blastingUpgrade.smeltingSpeedMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 14:41:35.923] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.blastingUpgrade.fuelEfficiencyMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 14:41:35.924] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 14:41:35.925] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade.smeltingSpeedMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 14:41:35.926] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade.fuelEfficiencyMultiplier was corrected from null to its default, 1.0. 
[23Apr2025 14:41:35.926] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade.inputFilterSlots was corrected from null to its default, 8. 
[23Apr2025 14:41:35.927] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade.inputFilterSlotsInRow was corrected from null to its default, 4. 
[23Apr2025 14:41:35.927] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.autoSmeltingUpgrade.fuelFilterSlots was corrected from null to its default, 4. 
